NeighborhoodID,Neighborhood,Population,MalePopulation,FemalePopulation,RaceWhite,RaceBlack,RaceIndian,RaceAsian,RacePacific,RaceOther,EducationA,EducationB,EducationC,EducationD,EducationE,EducationF,EducationG
1,Avondale,12466,5732,6734,932,11111,32,65,4,51,441,1440,2228,1761,289,555,358
2,Bond Hill,6972,3122,3850,322,6449,21,14,2,29,227,676,1770,1206,248,418,131
3,California,469,243,226,455,2,2,3,0,0,0,20,73,62,0,97,37
4,Camp Washington,1343,796,547,884,404,5,4,0,7,74,224,348,79,12,18,30
5,Carthage,2733,1415,1318,1805,592,17,43,18,206,124,187,615,338,71,131,43
6,Clifton,8304,4143,4161,5990,1398,18,589,8,93,81,258,655,1053,316,1566,1734
7,College Hill,14133,6275,7858,4800,8821,30,73,5,59,246,1219,2962,2529,797,1274,901
8,Columbia Tusculum,1304,664,640,1190,37,1,37,0,13,11,21,82,58,76,562,398
9,Corryville,3327,1863,1464,1633,1200,6,373,5,22,46,149,364,202,96,234,372
10,CUF,16989,9512,7477,12356,2675,20,1414,14,136,154,451,976,939,270,1436,1142
11,Downtown,4850,3256,1594,2933,1544,20,175,2,63,113,507,880,577,110,781,647
12,East End,1518,750,768,1292,168,5,29,0,2,84,76,158,149,44,255,232
13,East Price Hill,15340,7484,7856,7973,5876,132,117,85,615,1033,2249,2834,1463,499,832,299
14,East Walnut Hills,3794,1804,1990,2503,1111,4,81,0,24,92,207,446,536,268,813,892
15,East Westwood,2445,1097,1348,408,1947,4,4,4,23,59,402,564,408,273,120,0
16,English Woods,405,163,242,21,365,1,5,0,0,36,62,19,41,13,9,0
17,Evanston,9158,4252,4906,2572,6212,15,66,0,105,116,808,1483,1087,268,712,411
18,Hartwell,4640,2137,2503,2604,1676,14,93,3,81,206,290,1101,654,252,667,174
19,Hyde Park,13356,6314,7042,12124,466,16,417,4,80,10,113,575,757,525,4551,3305
20,Kennedy Heights,4847,2172,2675,1216,3350,9,35,4,82,67,384,897,667,305,915,393
21,Linwood,875,445,430,784,33,6,3,0,14,18,231,102,43,39,60,7
22,Lower Price Hill,1075,521,554,704,235,31,0,0,54,45,131,136,77,24,16,34
23,Madisonville,9141,4203,4938,3460,5183,25,120,6,38,181,796,1958,1558,488,1684,546
24,Millvale,2399,948,1451,131,2159,2,1,0,17,109,255,203,230,52,47,0
25,Mt. Adams,1481,843,638,1375,39,0,38,0,14,12,28,122,98,84,513,513
26,Mt. Airy,8779,3954,4825,2626,5675,17,93,2,106,265,742,2188,1197,306,852,252
27,Mt. Auburn,4904,2444,2460,1453,3233,11,48,0,39,149,531,880,385,177,712,304
28,Mt. Lookout,4814,2293,2521,4577,54,8,89,1,18,0,71,249,364,121,1526,1307
29,Mt. Washington,11711,5593,6118,10350,819,11,181,0,64,171,578,2119,1338,684,2149,1360
30,North Avondale,3229,1529,1700,1083,2024,6,27,0,23,47,195,457,455,195,422,627
31,North Fairmount,1812,906,906,297,1441,2,5,1,21,60,358,452,321,69,22,11
32,Northside,7467,3648,3819,4422,2712,20,54,1,62,245,541,1605,1317,193,958,481
33,Oakley,10429,4899,5530,8798,1001,24,298,2,102,154,391,1578,1234,501,3008,1923
34,Over-the-Rhine,6064,3542,2522,1518,4361,17,46,0,16,24,376,370,385,91,190,230
35,Paddock Hills,959,448,511,274,631,1,18,0,8,15,69,226,116,60,247,107
36,Pendleton,900,410,490,193,679,3,3,0,6,9,10,145,40,66,53,62
37,Pleasant Ridge,8083,3818,4265,4693,2896,17,110,2,124,81,275,1328,890,559,1671,1096
38,Queensgate,142,102,40,45,79,2,1,1,0,9,55,112,21,8,0,0
39,Riverside,2340,1141,1199,1983,268,1,18,1,8,130,252,423,233,169,91,22
40,Roselawn,6440,2870,3570,731,5548,10,48,2,27,273,704,1863,1121,316,434,273
41,Sedamsville,680,337,343,513,151,0,0,0,3,8,156,151,104,0,0,23
42,South Cumminsville,801,377,424,31,749,2,1,0,3,15,28,63,35,20,0,0
43,South Fairmount,2368,1111,1257,885,1338,3,17,0,60,130,345,630,256,107,41,47
44,Spring Grove Village,1964,950,1014,796,995,2,20,9,59,65,223,443,353,44,105,93
45,Villages at Roll Hill,1916,714,1202,134,1661,2,0,0,63,42,168,202,150,67,0,20
46,Walnut Hills,6495,2994,3501,1143,5123,11,65,3,11,316,822,827,736,323,407,394
47,West End,6627,2926,3701,635,5814,23,23,3,27,192,1210,1570,685,140,317,162
48,West Price Hill,17155,8303,8852,11983,4096,53,109,24,416,523,1653,3828,2355,839,1158,529
49,Westwood,29950,13935,16015,13743,14469,55,388,35,437,558,2429,7447,4494,1622,2336,1235
50,Winton Hills,4787,1877,2910,435,4103,12,16,0,24,107,350,612,521,134,86,107
